file,Threads,Concurrency,Math,50%,75%,90%,99%,99.9%,99.99%,99.999%,100%,u50%,u75%,u90%,u99%,u99.9%,u99.99%,u99.999%,u100%,Throughput
./wrk10/wrk_4003_r_Heavy.txt,3,3,0,910688.26,1351614.46,1619001.34,1785724.93,1797259.26,1797259.26,1797259.26,1797259.26,9986.05,10158.08,10764.29,13074.43,16580.61,16580.61,16580.61,16580.61,149
./wrk10/wrk_4003_r_Heavy.txt,3,3,0,902823.94,1343225.85,1613758.46,1781530.62,1793064.96,1793064.96,1793064.96,1793064.96,9977.85,10092.54,10600.45,14671.87,15572.99,15572.99,15572.99,15572.99,148
./wrk10/wrk_4003_r_Heavy.txt,3,3,0,891289.60,1341128.70,1604321.28,1778384.90,1790967.81,1790967.81,1790967.81,1790967.81,9953.28,10117.12,11632.64,15245.31,18120.70,18120.70,18120.70,18120.70,146
./wrk10/wrk_4003_r_Light.txt,50,400,0,13.54,50.78,154.75,335.36,697.34,788.99,880.13,954.37,12.81,50.08,154.11,334.59,696.32,788.48,880.13,953.34,720050
./wrk10/wrk_4003_w_Heavy.txt,3,3,1,897056.77,1348468.74,1611661.31,1777336.32,1787822.08,1787822.08,1787822.08,1787822.08,9953.28,10043.39,10223.61,12189.69,14450.69,14450.69,14450.69,14450.69,150
./wrk10/wrk_4003_w_Heavy.txt,3,3,1,909115.39,1349517.31,1616904.19,1783627.77,1795162.11,1795162.11,1795162.11,1795162.11,9961.47,10018.82,10444.80,14696.45,15433.73,15433.73,15433.73,15433.73,150
./wrk10/wrk_4003_w_Heavy.txt,3,3,1,905969.66,1346371.58,1610612.74,1779433.47,1790967.81,1790967.81,1790967.81,1790967.81,9961.47,10010.62,10231.81,12132.35,14934.01,14934.01,14934.01,14934.01,150
./wrk10/wrk_4003_w_Light.txt,50,400,1,16.30,31.34,72.45,186.11,334.08,399.87,449.79,556.54,15.58,30.59,71.68,185.47,333.31,398.85,449.28,556.54,720050
./wrk10/wrk_5003_r_Heavy.txt,3,3,0,895483.90,1341128.70,1614807.04,1781530.62,1793064.96,1793064.96,1793064.96,1793064.96,9969.66,10067.97,10313.73,14958.59,15859.71,15859.71,15859.71,15859.71,149
./wrk10/wrk_5003_r_Heavy.txt,3,3,0,895483.90,1344274.43,1615855.61,1781530.62,1793064.96,1793064.96,1793064.96,1793064.96,9969.66,10035.20,10395.65,14761.98,16515.07,16515.07,16515.07,16515.07,149
./wrk10/wrk_5003_r_Heavy.txt,3,3,0,893386.75,1342177.28,1602224.13,1768947.71,1786773.50,1786773.50,1786773.50,1786773.50,9986.05,10166.27,10788.86,15507.45,16293.89,16293.89,16293.89,16293.89,148
./wrk10/wrk_5003_r_Light.txt,50,500,0,16.88,78.40,173.44,340.48,495.62,711.17,768.51,843.26,16.18,77.69,172.67,339.71,494.85,709.63,767.49,842.75,900050
./wrk10/wrk_5003_w_Heavy.txt,3,3,1,901251.07,1350565.89,1615855.61,1780482.05,1790967.81,1790967.81,1790967.81,1790967.81,9961.47,10018.82,10231.81,11485.18,12337.15,12337.15,12337.15,12337.15,151
